teste;name;type;Str;Dex;Int;Faith;Luck;Physical;Magic;Fire;Lightning;Dark
;Blessed Bandit's Knife;Dagger;27.5;33;0;71.5;0;97.5;0;0;0;0
;Hollow Bandit's Knife;Dagger;35;42;0;0;24;133;0;0;0;0
;Parrying Dagger;Dagger;12.6;95.2;0;0;0;110;0;0;0;0
;Heavy Parrying Dagger;Dagger;96.6;0;0;0;0;101.75;0;0;0;0
;Sharp Parrying Dagger;Dagger;4.4;142.8;0;0;0;101.75;0;0;0;0
;Refined Parrying Dagger;Dagger;76.8;76.8;0;0;0;99;0;0;0;0
;Simple Parrying Dagger;Dagger;11.7;88.4;107.8;0;0;60;69;0;0;0
;Crystal Parrying Dagger;Dagger;9;68;127.05;0;0;57;78;0;0;0
;Fire Parrying Dagger;Dagger;0;0;0;0;0;107.25;0;107.25;0;0
;Chaos Parrying Dagger;Dagger;10.8;81.6;84.7;84.7;0;60;0;78;0;0
;Lightning Parrying Dagger;Dagger;9;68;0;127.05;0;57;0;0;78;0
;Deep Parrying Dagger;Dagger;0;0;0;0;0;107.25;0;0;0;107.25
;Dark Parrying Dagger;Dagger;10.8;81.6;84.7;84.7;0;60;0;0;0;78
;Poison Parrying Dagger;Dagger;12.6;95.2;0;0;0;85.25;0;0;0;0
;Blood Parrying Dagger;Dagger;12.6;95.2;0;0;0;85.25;0;0;0;0
;Raw Parrying Dagger;Dagger;0;0;0;0;0;137.5;0;0;0;0
;Blessed Parrying Dagger;Dagger;9.9;74.8;0;100.1;0;78;0;0;0;0
;Hollow Parrying Dagger;Dagger;12.6;95.2;0;0;33;104.5;0;0;0;0
;Rotten Ghru Dagger;Dagger;12.6;92.4;0;0;0;118;0;0;0;0
;Heavy Rotten Ghru Dagger;Dagger;94.5;0;0;0;0;109.15;0;0;0;0
;Sharp Rotten Ghru Dagger;Dagger;4.4;138.6;0;0;0;109.15;0;0;0;0
;Refined Rotten Ghru Dagger;Dagger;83.2;83.2;0;0;0;106.2;0;0;0;0
;Simple Rotten Ghru Dagger;Dagger;11.7;85.8;105;0;0;64;73.6;0;0;0
;Crystal Rotten Ghru Dagger;Dagger;9;66;123.75;0;0;60.8;83.2;0;0;0
;Fire Rotten Ghru Dagger;Dagger;0;0;0;0;0;113.85;0;113.85;0;0
;Chaos Rotten Ghru Dagger;Dagger;10.8;79.2;82.5;82.5;0;64;0;83.2;0;0
;Lightning Rotten Ghru Dagger;Dagger;9;66;0;123.75;0;60.8;0;0;83.2;0
;Deep Rotten Ghru Dagger;Dagger;0;0;0;0;0;113.85;0;0;0;113.85
;Dark Rotten Ghru Dagger;Dagger;10.8;79.2;82.5;82.5;0;64;0;0;0;83.2
;Poison Rotten Ghru Dagger;Dagger;12.6;92.4;0;0;0;91.45;0;0;0;0
;Blood Rotten Ghru Dagger;Dagger;12.6;92.4;0;0;0;91.45;0;0;0;0
;Raw Rotten Ghru Dagger;Dagger;0;0;0;0;0;147.5;0;0;0;0
;Blessed Rotten Ghru Dagger;Dagger;9.9;72.6;0;97.5;0;83.2;0;0;0;0
;Hollow Rotten Ghru Dagger;Dagger;12.6;92.4;0;0;33;112.1;0;0;0;0
;Harpe;Dagger;12.6;93.8;0;0;0;114;0;0;0;0
;Heavy Harpe;Dagger;94.5;0;0;0;0;105.45;0;0;0;0
;Sharp Harpe;Dagger;4.4;140.7;0;0;0;105.45;0;0;0;0
;Refined Harpe;Dagger;84.8;84.8;0;0;0;102.6;0;0;0;0
;Simple Harpe;Dagger;11.7;87.1;106.4;0;0;62;71.3;0;0;0
;Crystal Harpe;Dagger;9;67;125.4;0;0;58.9;80.6;0;0;0
;Fire Harpe;Dagger;0;0;0;0;0;115.5;0;115.5;0;0
;Chaos Harpe;Dagger;10.8;80.4;83.6;83.6;0;62;0;80.6;0;0
;Lightning Harpe;Dagger;9;67;0;125.4;0;58.9;0;0;80.6;0
;Deep Harpe;Dagger;0;0;0;0;0;115.5;0;0;0;115.5
;Dark Harpe;Dagger;10.8;80.4;83.6;83.6;0;62;0;0;0;80.6
;Poison Harpe;Dagger;12.6;93.8;0;0;0;88.35;0;0;0;0
;Blood Harpe;Dagger;12.6;93.8;0;0;0;88.35;0;0;0;0
;Raw Harpe;Dagger;0;0;0;0;0;142.5;0;0;0;0
;Blessed Harpe;Dagger;9.9;73.7;0;98.8;0;80.6;0;0;0;0
;Hollow Harpe;Dagger;12.6;93.8;0;0;33;108.3;0;0;0;0
;Scholar's Candlestick;Dagger;14;72.8;0;0;0;126;0;0;0;0
;Tailbone Short Sword;Dagger;14;28;0;0;0;174;0;0;0;0
;Corvian Greatknife;Dagger;25.2;25.2;0;0;0;184;0;0;0;0
;Heavy Corvian Greatknife;Dagger;37.8;0;0;0;0;170.2;0;0;0;0
;Sharp Corvian Greatknife;Dagger;19.8;43.2;0;0;0;170.2;0;0;0;0
;Refined Corvian Greatknife;Dagger;44.8;44.8;0;0;0;165.6;0;0;0;0
;Simple Corvian Greatknife;Dagger;23.4;23.4;50.4;0;0;77;88.55;0;0;0
;Crystal Corvian Greatknife;Dagger;18;18;59.4;0;0;73.15;100.1;0;0;0
;Fire Corvian Greatknife;Dagger;0;0;0;0;0;127.05;0;127.05;0;0
;Chaos Corvian Greatknife;Dagger;21.6;21.6;39.6;39.6;0;77;0;100.1;0;0
;Lightning Corvian Greatknife;Dagger;18;18;0;59.4;0;73.15;0;0;100.1;0
;Deep Corvian Greatknife;Dagger;0;0;0;0;0;127.05;0;0;0;127.05
;Dark Corvian Greatknife;Dagger;21.6;21.6;39.6;39.6;0;77;0;0;0;100.1
;Poison Corvian Greatknife;Dagger;25.2;25.2;0;0;0;142.6;0;0;0;0
;Blood Corvian Greatknife;Dagger;25.2;25.2;0;0;0;142.6;0;0;0;0
;Raw Corvian Greatknife;Dagger;0;0;0;0;0;230;0;0;0;0
;Blessed Corvian Greatknife;Dagger;19.8;19.8;0;46.8;0;100.1;0;0;0;0
;Hollow Corvian Greatknife;Dagger;25.2;25.2;0;0;13.5;174.8;0;0;0;0
;Handmaid's Dagger;Dagger;21;22.4;0;0;0;154;0;0;0;0
;Shortsword;Straight Sword;56;71.4;0;0;0;198;0;0;0;0
;Heavy Shortsword;Straight Sword;105;0;0;0;0;183.15;0;0;0;0
;Sharp Shortsword;Straight Sword;28.6;94.5;0;0;0;183.15;0;0;0;0
;Refined Shortsword;Straight Sword;88;88;0;0;0;178.2;0;0;0;0
;Simple Shortsword;Straight Sword;52;66.3;127.4;0;0;99;113.85;0;0;0
;Crystal Shortsword;Straight Sword;40;51;150.15;0;0;94.05;128.7;0;0;0
;Fire Shortsword;Straight Sword;0;0;0;0;0;163.35;0;163.35;0;0
;Chaos Shortsword;Straight Sword;48;61.2;100.1;100.1;0;99;0;128.7;0;0
;Lightning Shortsword;Straight Sword;40;51;0;150.15;0;94.05;0;0;128.7;0
;Deep Shortsword;Straight Sword;0;0;0;0;0;163.35;0;0;0;163.35
;Dark Shortsword;Straight Sword;48;61.2;100.1;100.1;0;99;0;0;0;128.7
;Poison Shortsword;Straight Sword;56;71.4;0;0;0;153.45;0;0;0;0
;Blood Shortsword;Straight Sword;56;71.4;0;0;0;153.45;0;0;0;0
;Raw Shortsword;Straight Sword;0;0;0;0;0;247.5;0;0;0;0
;Blessed Shortsword;Straight Sword;44;56.1;0;118.3;0;128.7;0;0;0;0
;Hollow Shortsword;Straight Sword;56;71.4;0;0;40.5;188.1;0;0;0;0
;Longsword;Straight Sword;70;49;0;0;0;220;0;0;0;0
;Heavy Longsword;Straight Sword;105;0;0;0;0;203.5;0;0;0;0
;Sharp Longsword;Straight Sword;55;84;0;0;0;203.5;0;0;0;0
;Refined Longsword;Straight Sword;83.2;83.2;0;0;0;198;0;0;0;0
;Simple Longsword;Straight Sword;65;45.5;119;0;0;110;126.5;0;0;0
;Crystal Longsword;Straight Sword;50;35;140.25;0;0;104.5;143;0;0;0
;Fire Longsword;Straight Sword;0;0;0;0;0;181.5;0;181.5;0;0
;Chaos Longsword;Straight Sword;60;42;93.5;93.5;0;110;0;143;0;0
;Lightning Longsword;Straight Sword;50;35;0;140.25;0;104.5;0;0;143;0
;Deep Longsword;Straight Sword;0;0;0;0;0;181.5;0;0;0;181.5
;Dark Longsword;Straight Sword;60;42;93.5;93.5;0;110;0;0;0;143
;Poison Longsword;Straight Sword;70;49;0;0;0;170.5;0;0;0;0
;Blood Longsword;Straight Sword;70;49;0;0;0;170.5;0;0;0;0
;Raw Longsword;Straight Sword;0;0;0;0;0;275;0;0;0;0
;Blessed Longsword;Straight Sword;55;38.5;0;110.5;0;143;0;0;0;0
;Hollow Longsword;Straight Sword;70;49;0;0;37.5;209;0;0;0;0
;Broadsword;Straight Sword;71.4;42;0;0;0;234;0;0;0;0
;Heavy Broadsword;Straight Sword;107.1;0;0;0;0;216.45;0;0;0;0
;Sharp Broadsword;Straight Sword;56.1;72;0;0;0;216.45;0;0;0;0
;Refined Broadsword;Straight Sword;80;80;0;0;0;210.6;0;0;0;0
;Simple Broadsword;Straight Sword;66.3;39;113.4;0;0;112;128.8;0;0;0
;Crystal Broadsword;Straight Sword;51;30;133.65;0;0;106.4;145.6;0;0;0
;Fire Broadsword;Straight Sword;0;0;0;0;0;184.8;0;184.8;0;0
;Chaos Broadsword;Straight Sword;61.2;36;89.1;89.1;0;112;0;145.6;0;0
;Lightning Broadsword;Straight Sword;51;30;0;133.65;0;106.4;0;0;145.6;0
;Deep Broadsword;Straight Sword;0;0;0;0;0;184.8;0;0;0;184.8
;Dark Broadsword;Straight Sword;61.2;36;89.1;89.1;0;112;0;0;0;145.6
;Poison Broadsword;Straight Sword;71.4;42;0;0;0;181.35;0;0;0;0
;Blood Broadsword;Straight Sword;71.4;42;0;0;0;181.35;0;0;0;0
;Raw Broadsword;Straight Sword;0;0;0;0;0;292.5;0;0;0;0
;Blessed Broadsword;Straight Sword;56.1;33;0;105.3;0;145.6;0;0;0;0
;Hollow Broadsword;Straight Sword;71.4;42;0;0;37.5;222.3;0;0;0;0
;Broken Straight Sword;Straight Sword;53.2;44.8;0;0;0;140;0;0;0;0
;Heavy Broken Straight Sword;Straight Sword;79.8;0;0;0;0;129.5;0;0;0;0
;Sharp Broken Straight Sword;Straight Sword;41.8;76.8;0;0;0;129.5;0;0;0;0
;Refined Broken Straight Sword;Straight Sword;72;72;0;0;0;126;0;0;0;0
;Simple Broken Straight Sword;Straight Sword;49.4;41.6;98;0;0;70;80.5;0;0;0
;Crystal Broken Straight Sword;Straight Sword;38;32;115.5;0;0;66.5;91;0;0;0
;Fire Broken Straight Sword;Straight Sword;0;0;0;0;0;115.5;0;115.5;0;0
;Chaos Broken Straight Sword;Straight Sword;45.6;38.4;77;77;0;70;0;91;0;0
;Lightning Broken Straight Sword;Straight Sword;38;32;0;115.5;0;66.5;0;0;91;0
;Deep Broken Straight Sword;Straight Sword;0;0;0;0;0;115.5;0;0;0;115.5
;Dark Broken Straight Sword;Straight Sword;45.6;38.4;77;77;0;70;0;0;0;91
;Poison Broken Straight Sword;Straight Sword;53.2;44.8;0;0;0;108.5;0;0;0;0
;Blood Broken Straight Sword;Straight Sword;53.2;44.8;0;0;0;108.5;0;0;0;0
;Raw Broken Straight Sword;Straight Sword;0;0;0;0;0;175;0;0;0;0
;Blessed Broken Straight Sword;Straight Sword;41.8;35.2;0;91;0;91;0;0;0;0
;Hollow Broken Straight Sword;Straight Sword;53.2;44.8;0;0;25.5;133;0;0;0;0
;Lothric Knight Sword;Straight Sword;57.4;70;0;0;0;206;0;0;0;0
;Heavy Lothric Knight Sword;Straight Sword;105;0;0;0;0;190.55;0;0;0;0
;Sharp Lothric Knight Sword;Straight Sword;28.6;94.5;0;0;0;190.55;0;0;0;0
;Refined Lothric Knight Sword;Straight Sword;88;88;0;0;0;185.4;0;0;0;0
;Simple Lothric Knight Sword;Straight Sword;53.3;65;127.4;0;0;103;118.45;0;0;0
;Crystal Lothric Knight Sword;Straight Sword;41;50;150.15;0;0;97.85;133.9;0;0;0
;Fire Lothric Knight Sword;Straight Sword;0;0;0;0;0;169.95;0;169.95;0;0
;Chaos Lothric Knight Sword;Straight Sword;49.2;60;100.1;100.1;0;103;0;133.9;0;0
;Lightning Lothric Knight Sword;Straight Sword;41;50;0;150.15;0;97.85;0;0;133.9;0
;Deep Lothric Knight Sword;Straight Sword;0;0;0;0;0;169.95;0;0;0;169.95
;Dark Lothric Knight Sword;Straight Sword;49.2;60;100.1;100.1;0;103;0;0;0;133.9
;Poison Lothric Knight Sword;Straight Sword;57.4;70;0;0;0;159.65;0;0;0;0
;Blood Lothric Knight Sword;Straight Sword;57.4;70;0;0;0;159.65;0;0;0;0
;Raw Lothric Knight Sword;Straight Sword;0;0;0;0;0;257.5;0;0;0;0
;Blessed Lothric Knight Sword;Straight Sword;45.1;55;0;118.3;0;133.9;0;0;0;0
;Hollow Lothric Knight Sword;Straight Sword;57.4;70;0;0;42;195.7;0;0;0;0
;Sunlight Straight Sword;Straight Sword;84;84;0;0;0;196;0;0;0;0
;Rotten Ghru Curved Sword;Curved Sword;21;81.2;0;0;0;206;0;0;0;0
;Heavy Rotten Ghru Curved Sword;Curved Sword;84;0;0;0;0;190.55;0;0;0;0
;Sharp Rotten Ghru Curved Sword;Curved Sword;7.7;121.8;0;0;0;190.55;0;0;0;0
;Refined Rotten Ghru Curved Sword;Curved Sword;73.6;73.6;0;0;0;185.4;0;0;0;0
;Simple Rotten Ghru Curved Sword;Curved Sword;19.5;75.4;102.2;0;0;103;118.45;0;0;0
;Crystal Rotten Ghru Curved Sword;Curved Sword;15;58;120.45;0;0;97.85;133.9;0;0;0
;Fire Rotten Ghru Curved Sword;Curved Sword;0;0;0;0;0;169.95;0;169.95;0;0
;Chaos Rotten Ghru Curved Sword;Curved Sword;18;69.6;80.3;80.3;0;103;0;133.9;0;0
;Lightning Rotten Ghru Curved Sword;Curved Sword;15;58;0;120.45;0;97.85;0;0;133.9;0
;Deep Rotten Ghru Curved Sword;Curved Sword;0;0;0;0;0;169.95;0;0;0;169.95
;Dark Rotten Ghru Curved Sword;Curved Sword;18;69.6;80.3;80.3;0;103;0;0;0;133.9
;Poison Rotten Ghru Curved Sword;Curved Sword;21;81.2;0;0;0;159.65;0;0;0;0
;Blood Rotten Ghru Curved Sword;Curved Sword;21;81.2;0;0;0;159.65;0;0;0;0
;Raw Rotten Ghru Curved Sword;Curved Sword;0;0;0;0;0;257.5;0;0;0;0
;Blessed Rotten Ghru Curved Sword;Curved Sword;16.5;63.8;0;94.9;0;133.9;0;0;0;0
;Hollow Rotten Ghru Curved Sword;Curved Sword;21;81.2;0;0;31.5;195.7;0;0;0;0
;Irithyll Straight Sword;Straight Sword;64.4;42;0;0;0;216;0;0;0;0
;Cleric's Candlestick;Straight Sword;35;29.4;112;0;0;115.2;126;0;0;0
;Morion Blade;Straight Sword;64.4;35;0;0;0;228;0;0;0;0
;Astora Straight Sword;Straight Sword;36.4;28;0;0;0;258;0;0;0;0
;Heavy Astora Straight Sword;Straight Sword;54.6;0;0;0;0;238.65;0;0;0;0
;Sharp Astora Straight Sword;Straight Sword;28.6;48;0;0;0;238.65;0;0;0;0
;Refined Astora Straight Sword;Straight Sword;44.8;44.8;0;0;0;232.2;0;0;0;0
;Simple Astora Straight Sword;Straight Sword;33.8;26;64.4;0;0;109;125.35;0;0;0
;Crystal Astora Straight Sword;Straight Sword;26;20;75.9;0;0;103.55;141.7;0;0;0
;Fire Astora Straight Sword;Straight Sword;0;0;0;0;0;179.85;0;179.85;0;0
;Chaos Astora Straight Sword;Straight Sword;31.2;24;50.6;50.6;0;109;0;141.7;0;0
;Lightning Astora Straight Sword;Straight Sword;26;20;0;75.9;0;103.55;0;0;141.7;0
;Deep Astora Straight Sword;Straight Sword;0;0;0;0;0;179.85;0;0;0;179.85
;Dark Astora Straight Sword;Straight Sword;31.2;24;50.6;50.6;0;109;0;0;0;141.7
;Poison Astora Straight Sword;Straight Sword;36.4;28;0;0;0;199.95;0;0;0;0
;Blood Astora Straight Sword;Straight Sword;36.4;28;0;0;0;199.95;0;0;0;0
;Raw Astora Straight Sword;Straight Sword;0;0;0;0;0;322.5;0;0;0;0
;Blessed Astora Straight Sword;Straight Sword;28.6;22;0;59.8;0;141.7;0;0;0;0
;Hollow Astora Straight Sword;Straight Sword;36.4;28;0;0;21;245.1;0;0;0;0
;Barbed Straight Sword;Straight Sword;63;43.4;0;0;0;222;0;0;0;0
;Heavy Barbed Straight Sword;Straight Sword;94.5;0;0;0;0;205.35;0;0;0;0
;Sharp Barbed Straight Sword;Straight Sword;49.5;74.4;0;0;0;205.35;0;0;0;0
;Refined Barbed Straight Sword;Straight Sword;76.8;76.8;0;0;0;199.8;0;0;0;0
;Simple Barbed Straight Sword;Straight Sword;58.5;40.3;106.4;0;0;106;121.9;0;0;0
;Crystal Barbed Straight Sword;Straight Sword;45;31;125.4;0;0;100.7;137.8;0;0;0
;Fire Barbed Straight Sword;Straight Sword;0;0;0;0;0;174.9;0;174.9;0;0
;Chaos Barbed Straight Sword;Straight Sword;54;37.2;83.6;83.6;0;106;0;137.8;0;0
;Lightning Barbed Straight Sword;Straight Sword;45;31;0;125.4;0;100.7;0;0;137.8;0
;Deep Barbed Straight Sword;Straight Sword;0;0;0;0;0;174.9;0;0;0;174.9
;Dark Barbed Straight Sword;Straight Sword;54;37.2;83.6;83.6;0;106;0;0;0;137.8
;Poison Barbed Straight Sword;Straight Sword;63;43.4;0;0;0;172.05;0;0;0;0
;Blood Barbed Straight Sword;Straight Sword;63;43.4;0;0;0;172.05;0;0;0;0
;Raw Barbed Straight Sword;Straight Sword;0;0;0;0;0;277.5;0;0;0;0
;Blessed Barbed Straight Sword;Straight Sword;49.5;34.1;0;98.8;0;137.8;0;0;0;0
;Hollow Barbed Straight Sword;Straight Sword;63;43.4;0;0;33;210.9;0;0;0;0
;Executioner's Greatsword;Greatsword;85.4;28;0;0;0;262;0;0;0;0
;Anri's Straight Sword;Straight Sword;21;19.6;0;11.2;110.6;204;0;0;0;0
;Estoc;Thrusting Sword;35;70;0;0;0;210;0;0;0;0
;Heavy Estoc;Thrusting Sword;86.1;0;0;0;0;194.25;0;0;0;0
;Sharp Estoc;Thrusting Sword;17.6;94.5;0;0;0;194.25;0;0;0;0
;Refined Estoc;Thrusting Sword;75.2;75.2;0;0;0;189;0;0;0;0
;Simple Estoc;Thrusting Sword;32.5;65;105;0;0;100;115;0;0;0
;Crystal Estoc;Thrusting Sword;25;50;123.75;0;0;95;130;0;0;0
;Fire Estoc;Thrusting Sword;0;0;0;0;0;165;0;165;0;0
;Chaos Estoc;Thrusting Sword;30;60;82.5;82.5;0;100;0;130;0;0
;Lightning Estoc;Thrusting Sword;25;50;0;123.75;0;95;0;0;130;0
;Deep Estoc;Thrusting Sword;0;0;0;0;0;165;0;0;0;165
;Dark Estoc;Thrusting Sword;30;60;82.5;82.5;0;100;0;0;0;130
;Poison Estoc;Thrusting Sword;35;70;0;0;0;162.75;0;0;0;0
;Blood Estoc;Thrusting Sword;35;70;0;0;0;162.75;0;0;0;0
;Raw Estoc;Thrusting Sword;0;0;0;0;0;262.5;0;0;0;0
;Blessed Estoc;Thrusting Sword;27.5;55;0;97.5;0;130;0;0;0;0
;Hollow Estoc;Thrusting Sword;35;70;0;0;33;199.5;0;0;0;0
;Mail Breaker;Dagger;14;35;0;0;0;160;0;0;0;0
;Heavy Mail Breaker;Dagger;44.1;0;0;0;0;148;0;0;0;0
;Sharp Mail Breaker;Dagger;5.5;52.5;0;0;0;148;0;0;0;0
;Refined Mail Breaker;Dagger;43.2;43.2;0;0;0;144;0;0;0;0
;Simple Mail Breaker;Dagger;13;32.5;49;0;0;70;80.5;0;0;0
;Crystal Mail Breaker;Dagger;10;25;57.75;0;0;66.5;91;0;0;0
;Fire Mail Breaker;Dagger;0;0;0;0;0;115.5;0;115.5;0;0
;Chaos Mail Breaker;Dagger;12;30;38.5;38.5;0;70;0;91;0;0
;Lightning Mail Breaker;Dagger;10;25;0;57.75;0;66.5;0;0;91;0
;Deep Mail Breaker;Dagger;0;0;0;0;0;115.5;0;0;0;115.5
;Dark Mail Breaker;Dagger;12;30;38.5;38.5;0;70;0;0;0;91
;Poison Mail Breaker;Dagger;14;35;0;0;0;124;0;0;0;0
;Blood Mail Breaker;Dagger;14;35;0;0;0;124;0;0;0;0
;Raw Mail Breaker;Dagger;0;0;0;0;0;200;0;0;0;0
;Blessed Mail Breaker;Dagger;11;27.5;0;45.5;0;91;0;0;0;0
;Hollow Mail Breaker;Dagger;14;35;0;0;15;152;0;0;0;0
;Rapier;Thrusting Sword;28;84;0;0;0;190;0;0;0;0
;Heavy Rapier;Thrusting Sword;92.4;0;0;0;0;175.75;0;0;0;0
;Sharp Rapier;Thrusting Sword;14.3;113.4;0;0;0;175.75;0;0;0;0
;Refined Rapier;Thrusting Sword;80;80;0;0;0;171;0;0;0;0
;Simple Rapier;Thrusting Sword;26;78;112;0;0;95;109.25;0;0;0
;Crystal Rapier;Thrusting Sword;20;60;132;0;0;90.25;123.5;0;0;0
;Fire Rapier;Thrusting Sword;0;0;0;0;0;156.75;0;156.75;0;0
;Chaos Rapier;Thrusting Sword;24;72;88;88;0;95;0;123.5;0;0
;Lightning Rapier;Thrusting Sword;20;60;0;132;0;90.25;0;0;123.5;0
;Deep Rapier;Thrusting Sword;0;0;0;0;0;156.75;0;0;0;156.75
;Dark Rapier;Thrusting Sword;24;72;88;88;0;95;0;0;0;123.5
;Poison Rapier;Thrusting Sword;28;84;0;0;0;147.25;0;0;0;0
;Blood Rapier;Thrusting Sword;28;84;0;0;0;147.25;0;0;0;0
;Raw Rapier;Thrusting Sword;0;0;0;0;0;237.5;0;0;0;0
;Blessed Rapier;Thrusting Sword;22;66;0;104;0;123.5;0;0;0;0
;Hollow Rapier;Thrusting Sword;28;84;0;0;36;180.5;0;0;0;0
;Ricard's Rapier;Thrusting Sword;29.4;84;0;0;0;194;0;0;0;0
;Heavy Ricard's Rapier;Thrusting Sword;92.4;0;0;0;0;179.45;0;0;0;0
;Sharp Ricard's Rapier;Thrusting Sword;14.3;113.4;0;0;0;179.45;0;0;0;0
;Refined Ricard's Rapier;Thrusting Sword;80;80;0;0;0;174.6;0;0;0;0
;Simple Ricard's Rapier;Thrusting Sword;27.3;78;113.4;0;0;97;111.55;0;0;0
;Crystal Ricard's Rapier;Thrusting Sword;21;60;133.65;0;0;92.15;126.1;0;0;0
;Fire Ricard's Rapier;Thrusting Sword;0;0;0;0;0;160.05;0;160.05;0;0
;Chaos Ricard's Rapier;Thrusting Sword;25.2;72;89.1;89.1;0;97;0;126.1;0;0
;Lightning Ricard's Rapier;Thrusting Sword;21;60;0;133.65;0;92.15;0;0;126.1;0
;Deep Ricard's Rapier;Thrusting Sword;0;0;0;0;0;160.05;0;0;0;160.05
;Dark Ricard's Rapier;Thrusting Sword;25.2;72;89.1;89.1;0;97;0;0;0;126.1
;Poison Ricard's Rapier;Thrusting Sword;29.4;84;0;0;0;150.35;0;0;0;0
;Blood Ricard's Rapier;Thrusting Sword;29.4;84;0;0;0;150.35;0;0;0;0
;Raw Ricard's Rapier;Thrusting Sword;0;0;0;0;0;242.5;0;0;0;0
;Blessed Ricard's Rapier;Thrusting Sword;23.1;66;0;105.3;0;126.1;0;0;0;0
;Hollow Ricard's Rapier;Thrusting Sword;29.4;84;0;0;37.5;184.3;0;0;0;0
;Crystal Sage's Rapier;Thrusting Sword;21;28;105;0;0;100;150;0;0;0
;Irithyll Rapier;Thrusting Sword;57.4;70;0;0;0;202;0;0;0;0
;Shotel;Curved Sword;21;81.2;0;0;0;208;0;0;0;0
;Heavy Shotel;Curved Sword;84;0;0;0;0;192.4;0;0;0;0
;Sharp Shotel;Curved Sword;7.7;102.9;0;0;0;192.4;0;0;0;0
;Refined Shotel;Curved Sword;73.6;73.6;0;0;0;187.2;0;0;0;0
;Simple Shotel;Curved Sword;19.5;75.4;102.2;0;0;104;119.6;0;0;0
;Crystal Shotel;Curved Sword;15;58;120.45;0;0;98.8;135.2;0;0;0
;Fire Shotel;Curved Sword;0;0;0;0;0;171.6;0;171.6;0;0
;Chaos Shotel;Curved Sword;18;69.6;80.3;80.3;0;104;0;135.2;0;0
;Lightning Shotel;Curved Sword;15;58;0;120.45;0;98.8;0;0;135.2;0
;Deep Shotel;Curved Sword;0;0;0;0;0;171.6;0;0;0;171.6
;Dark Shotel;Curved Sword;18;69.6;80.3;80.3;0;104;0;0;0;135.2
;Poison Shotel;Curved Sword;21;81.2;0;0;0;161.2;0;0;0;0
;Blood Shotel;Curved Sword;21;81.2;0;0;0;161.2;0;0;0;0
;Raw Shotel;Curved Sword;0;0;0;0;0;260;0;0;0;0
;Blessed Shotel;Curved Sword;16.5;63.8;0;94.9;0;135.2;0;0;0;0
;Hollow Shotel;Curved Sword;21;81.2;0;0;31.5;197.6;0;0;0;0
;Scimitar;Curved Sword;7;112;0;0;0;180;0;0;0;0
;Heavy Scimitar;Curved Sword;96.6;0;0;0;0;166.5;0;0;0;0
;Sharp Scimitar;Curved Sword;2.2;142.8;0;0;0;166.5;0;0;0;0
;Refined Scimitar;Curved Sword;83.2;83.2;0;0;0;162;0;0;0;0
;Simple Scimitar;Curved Sword;6.5;104;119;0;0;90;103.5;0;0;0
